0.4	0	0.012	0.00278054	-0.0028479	-3.03086	-0.00325324	-0.00512816	0.00124215	-0.0211392	-0.0284651	0.0153207	-0.005	-0.006	0.001
0.399951	0.00628274	0.012	-0.0127965	-0.00285549	-3.03613	-0.0108087	-0.00306973	-0.00279274	0.00175987	0.0767541	-0.0646937	-0.007	-0.017	0.012
0.399803	0.0125639	0.012	-0.0127965	-0.00285549	-3.03613	-0.0108087	-0.00306973	-0.00279274	0.00175987	0.0767541	-0.0646937	-0.007	-0.017	0.012
0.399556	0.018842	0.012	-0.012797	-0.00285523	-3.0361	-0.0101916	-0.00246071	-0.00589431	0.0116289	0.0778561	-0.0655783	0	-0.014	0.011
0.399211	0.0251155	0.012	-0.0127407	-0.0028337	-3.03596	-0.00993512	-0.00205211	-0.00634494	-0.0120736	0.0671281	-0.0488019	0	-0.014	0.011
0.398767	0.0313827	0.012	-0.0126737	-0.00277971	-3.03587	-0.00942078	-0.00169703	-0.00426091	-0.016169	0.0626758	-0.0280855	0	-0.014	0.011
0.398225	0.0376422	0.012	-0.0126594	-0.00272967	-3.0358	-0.00917448	-0.00131928	-0.00352715	-0.0337045	0.0555915	-0.0106853	0	-0.014	0.011
0.397585	0.0438924	0.012	-0.0126695	-0.00267561	-3.03514	-0.00899921	-0.00148746	-0.00239488	-0.0279008	0.0292283	0.00286294	0	-0.014	0.011
0.396846	0.0501318	0.012	-0.0123546	-0.0024989	-3.03402	-0.00856445	-0.00169579	-0.000585263	-0.00591922	0.0451118	0.0122695	0.002	-0.003	0.011
0.39601	0.0563588	0.012	-0.0114905	-0.00221378	-3.03314	-0.00766291	-0.00155994	-0.00117705	0.012584	0.050871	-0.0120128	0.002	-0.003	0.011
0.395076	0.062572	0.012	-0.0101266	-0.00196721	-3.03292	-0.00653356	-0.0011623	-0.00176168	0.0152484	0.0265424	-0.060876	0.002	-0.003	0.011
0.394044	0.0687696	0.012	-0.00856015	-0.00191281	-3.0328	-0.00553629	-0.00162972	-0.00344339	0.00519296	-0.024499	-0.0901361	0.002	-0.003	0.011
0.392915	0.0749503	0.012	-0.00712065	-0.00198828	-3.03253	-0.00474653	-0.00259165	-0.00668353	0.000310586	-0.0394151	-0.0847545	0.002	-0.003	0.011
0.39169	0.0811126	0.012	-0.00600029	-0.00204366	-3.03233	-0.00397951	-0.00380079	-0.0116062	-0.00290636	-0.0424279	-0.0769129	-0.001	-0.01	0.021
0.390367	0.0872548	0.012	-0.00520812	-0.00198437	-3.0321	-0.00342313	-0.00509819	-0.0148119	-0.015927	-0.0510944	-0.06035	-0.001	-0.01	0.021
0.388949	0.0933754	0.012	-0.00461906	-0.0018009	-3.03206	-0.00332419	-0.00656525	-0.0151015	-0.0110588	-0.0408979	-0.044545	-0.001	-0.01	0.021
0.387434	0.0994731	0.012	-0.00415021	-0.00161868	-3.03203	-0.00319681	-0.00773349	-0.0162728	-0.00802304	-0.024734	-0.0483563	-0.001	-0.01	0.021
0.385824	0.105546	0.012	-0.00373223	-0.00146929	-3.03194	-0.0028983	-0.00886871	-0.0188331	-0.00284509	-0.0350973	-0.0546503	-0.001	-0.01	0.021
